date,tavg,tmin,tmax,prcp,wspd,pres,tsun,city
8/1/2021,30.1,26.2,33.9,47,,1003.9,7560,Ahmedabad
9/1/2021,29,25.7,32.3,201,,1002.9,5340,Ahmedabad
10/1/2021,28.8,23,34.6,8,,1009.2,15840,Ahmedabad
11/1/2021,25.5,17.8,33.3,0,,1011.8,14460,Ahmedabad
12/1/2021,21.3,14.6,27.9,5,,1015.8,13560,Ahmedabad
1/1/2022,19.5,12.3,26.7,4,,1014.7,16020,Ahmedabad
2/1/2022,23.3,14.4,32.1,0,,1012,16740,Ahmedabad
3/1/2022,29.8,21.4,38.2,0,,1009.5,17460,Ahmedabad
4/1/2022,33.7,25.4,42.1,0,,1006.7,18420,Ahmedabad
5/1/2022,35.4,28.1,42.6,0,,1002.9,18360,Ahmedabad
6/1/2022,34.1,27.8,40.4,17,,1001.7,14940,Ahmedabad
7/1/2022,29.5,25.9,33,565,,1001.2,6120,Ahmedabad
8/1/2022,29,25.7,32.4,208,,1001.6,6780,Ahmedabad
9/1/2022,29.9,25.6,34.2,54,,1005.5,12480,Ahmedabad
10/1/2022,28.7,22.1,35.2,14,,1010.4,16860,Ahmedabad
11/1/2022,25.1,16.9,33.4,0,,1013.6,16980,Ahmedabad
12/1/2022,23,15.8,30.3,0,,1013.6,15420,Ahmedabad
1/1/2023,19.9,12.7,27.1,1,,1015.7,16380,Ahmedabad
2/1/2023,24.3,14.5,34.1,0,,1014.2,19080,Ahmedabad
3/1/2023,28.1,20.5,35.7,10,,1011.3,16560,Ahmedabad
4/1/2023,31.7,24.6,38.8,3,,1008.4,17520,Ahmedabad
5/1/2023,33.8,26.7,40.9,68,,1006.6,19860,Ahmedabad
6/1/2023,32.1,27.4,36.8,170,,1003,11280,Ahmedabad
7/1/2023,30.1,26.6,33.7,409,,1001.4,4920,Ahmedabad
8/1/2023,29.5,26.1,33,36,,1004.9,5280,Ahmedabad
9/1/2023,30.1,26,34.2,195,,1004.8,9600,Ahmedabad
10/1/2023,29.5,22.8,36.1,1,,1011.6,17160,Ahmedabad
11/1/2023,25.9,19.1,32.8,31,,1013.7,13080,Ahmedabad
12/1/2023,22.8,17.1,28.5,0,,1015,13020,Ahmedabad
1/1/2024,21.1,14.2,28,0,,1015.3,14640,Ahmedabad
2/1/2024,24.3,17.5,31,0,,1014.6,15360,Ahmedabad
3/1/2024,28,20.4,35.6,0,,1011.8,18420,Ahmedabad
4/1/2024,32.7,26.1,39.2,0,,1007.7,16260,Ahmedabad
5/1/2024,35.9,29,42.8,7,,1003.7,18900,Ahmedabad
6/1/2024,34.5,28.8,40.1,145,,1001.2,14100,Ahmedabad
7/1/2024,30.3,27,33.6,312,,998.6,4560,Ahmedabad
8/1/2024,29.1,26,32.1,471,,1002.7,4500,Ahmedabad
